iter	Passed	Remaining
399	66986	50240
400	67172	50085
401	67355	49930
402	67532	49769
403	67707	49607
404	67878	49442
405	68059	49284
406	68236	49123
407	68410	48960
408	68599	48807
409	68782	48650
410	68959	48489
411	69145	48334
412	69335	48182
413	69506	48016
414	69673	47847
415	69855	47690
416	70037	47531
417	70215	47370
418	70388	47205
419	70577	47051
420	70748	46885
421	70934	46729
422	71103	46562
423	71157	46319
424	71330	46155
425	71507	45993
426	71682	45830
427	71856	45665
428	72031	45502
429	72219	45347
430	72403	45189
431	72575	45023
432	72758	44865
433	72940	44705
434	73121	44545
435	73303	44385
436	73485	44226
437	73670	44067
438	73851	43906
439	74028	43743
440	74212	43584
441	74375	43413
442	74564	43257
443	74748	43098
444	74938	42942
445	75130	42787
446	75325	42634
447	75512	42475
448	75700	42317
449	75870	42150
450	76044	41984
451	76220	41819
452	76400	41657
453	76583	41496
454	76763	41334
455	76946	41173
456	77124	41009
457	77307	40848
458	77488	40685
459	77661	40519
460	77844	40357
461	78024	40194
462	78195	40026
463	78372	39861
464	78550	39697
465	78749	39543
466	78935	39383
467	79116	39220
468	79280	39048
469	79460	38884
470	79628	38715
471	79800	38547
472	79959	38373
473	80130	38205
474	80313	38043
475	80490	37878
476	80664	37711
477	80844	37547
478	81018	37379
479	81201	37217
480	81388	37056
481	81572	36893
482	81743	36725
483	81918	36558
484	82089	36390
485	82262	36222
486	82446	36059
487	82620	35892
488	82791	35723
489	82968	35558
490	83149	35393
491	83336	35231
492	83510	35064
493	83689	34898
494	83867	34732
495	84053	34570
496	84241	34408
497	84417	34241
498	84600	34077
499	84783	33913
500	84951	33743
501	85125	33575
502	85312	33412
503	85501	33250
504	85675	33082
505	85782	32888
506	85958	32721
507	86146	32559
508	86318	32390
509	86493	32223
510	86669	32055
511	86855	31892
512	87030	31724
513	87214	31559
514	87395	31394
515	87576	31228
516	87757	31063
517	87938	30897
518	88116	30730
519	88306	30567
520	88482	30399
521	88665	30234
522	88842	30067
523	89022	29900
524	89204	29734
525	89391	29570
526	89574	29404
527	89749	29236
528	89939	29073
529	90118	28905
530	90278	28732
531	90462	28567
532	90608	28389
533	90804	28227
534	90978	28058
535	91164	27893
536	91368	27733
537	91539	27564
538	91725	27398
539	91907	27231
540	92091	27065
541	92287	26903
542	92467	26735
543	92652	26569
544	92840	26404
545	93017	26235
546	93189	26065
547	93371	25898
548	93544	25728
549	93723	25560
550	93912	25395
551	94087	25226
552	94262	25057
553	94446	24890
554	94622	24721
555	94806	24554
556	94989	24386
557	95168	24218
558	95343	24049
559	95543	23885
560	95733	23720
561	95931	23556
562	96114	23388
563	96198	23196
564	96396	23032
565	96586	22866
566	96743	22692
567	96934	22526
568	97125	22361
569	97309	22193
570	97488	22024
571	97673	21857
572	97855	21688
573	98028	21518
574	98181	21343
575	98341	21170
576	98514	21000
577	98697	20832
578	98884	20664
579	99055	20494
580	99237	20325
581	99407	20154
582	99590	19986
583	99769	19817
584	99943	19647
585	100126	19478
586	100308	19309
587	100484	19139
588	100656	18969
589	100829	18798
590	101012	18630
591	101185	18459
592	101353	18288
593	101536	18119
594	101722	17950
595	101902	17781
596	102073	17610
597	102247	17440
598	102420	17269
599	102603	17100
600	102772	16929
601	102960	16760
602	103141	16591
603	103314	16420
604	103488	16250
605	103662	16079
606	103843	15910
607	104015	15739
608	104201	15570
609	104385	15401
610	104568	15231
611	104738	15060
612	104909	14889
613	105079	14717
614	105261	14548
615	105595	14399
616	105840	14237
617	106039	14069
618	106257	13904
619	106460	13736
620	106670	13569
621	106893	13404
622	107088	13235
623	107268	13064
624	107445	12893
625	107618	12721
626	107797	12550
627	107972	12379
628	108154	12208
629	108352	12039
630	108535	11868
631	108709	11696
632	108893	11525
633	109065	11353
634	109239	11181
635	109420	11010
636	109519	10831
637	109690	10659
638	109865	10487
639	110036	10315
640	110214	10144
641	110410	9974
642	110599	9804
643	110797	9634
644	110969	9462
645	111140	9290
646	111319	9118
647	111531	8950
648	111754	8781
649	111977	8613
650	112161	8442
651	112341	8270
652	112527	8099
653	112710	7927
654	112913	7757
655	113209	7593
656	113571	7433
657	113780	7262
658	114062	7096
659	114266	6925
660	114496	6755
661	114657	6581
662	114838	6408
663	115026	6236
664	115209	6063
665	115389	5890
666	115576	5718
667	115759	5545
668	115932	5372
669	116104	5198
670	116281	5025
671	116460	4852
672	116644	4679
673	116823	4506
674	117008	4333
675	117185	4160
676	117363	3987
677	117537	3813
678	117724	3640
679	117899	3467
680	118084	3294
681	118260	3121
682	118528	2950
683	118713	2776
684	118907	2603
685	119094	2430
686	119267	2256
687	119451	2083
688	119635	1909
689	119819	1736
690	119984	1562
691	120168	1389
692	120347	1215
693	120523	1041
694	120696	868
695	120881	694
696	121055	521
697	121255	347
698	121426	173
699	121593	0
