iter	RMSE
0	23.6629324
1	23.33988694
2	23.01889022
3	22.71426747
4	22.42478081
5	22.14142229
6	21.87861754
7	21.62149125
8	21.38213949
9	21.1490434
10	20.92558974
11	20.7124756
12	20.51372069
13	20.32435724
14	20.1427479
15	19.96958813
16	19.80290782
17	19.64717935
18	19.4943049
19	19.35476425
20	19.22356121
21	19.10000668
22	18.98015056
23	18.8648129
24	18.75159574
25	18.64426116
26	18.54155111
27	18.44200205
28	18.35152652
29	18.25987813
30	18.17620253
31	18.10023975
32	18.02819792
33	17.9568323
34	17.89071985
35	17.82863702
36	17.77080551
37	17.71325476
38	17.65513692
39	17.600834
40	17.55184789
41	17.50580815
42	17.45907552
43	17.41757456
44	17.37608792
45	17.33919027
46	17.30471512
47	17.26960638
48	17.2369499
49	17.20435491
50	17.1786062
51	17.1509551
52	17.122655
53	17.09667448
54	17.07328525
55	17.052526
56	17.03049264
57	17.00905005
58	16.98743117
59	16.97052798
60	16.95037246
61	16.93065146
62	16.91407387
63	16.89881573
64	16.88370202
65	16.87085012
66	16.8558386
67	16.84101743
68	16.82772771
69	16.81690922
70	16.80503539
71	16.79393559
72	16.78123675
73	16.773744
74	16.76327801
75	16.75224607
76	16.74474426
77	16.73669646
78	16.7284245
79	16.71867577
80	16.71174175
81	16.70510048
82	16.69693114
83	16.69059202
84	16.68513842
85	16.67849137
86	16.67195571
87	16.66552776
88	16.66071522
89	16.65593631
90	16.64947167
91	16.64485554
92	16.6400216
93	16.63620669
94	16.63200831
95	16.62651012
96	16.62246588
97	16.62053803
98	16.61602968
99	16.61021398
100	16.60683402
101	16.60311715
102	16.5997519
103	16.59571774
104	16.59327376
105	16.59026373
106	16.58738169
107	16.58405247
108	16.58132591
109	16.57813189
110	16.5731646
111	16.56972587
112	16.56886226
113	16.56425352
114	16.56105361
115	16.55686927
116	16.55485086
117	16.55217066
118	16.54802288
119	16.54497009
120	16.54303317
121	16.53988497
122	16.53747232
123	16.53443094
124	16.53244827
125	16.52912477
126	16.5255578
127	16.52315817
128	16.52079494
129	16.51875591
130	16.51679907
131	16.51367411
132	16.51196252
133	16.50975283
134	16.50776438
135	16.50594897
136	16.50381222
137	16.50135274
138	16.4994782
139	16.49787577
140	16.4962932
141	16.49479137
142	16.49263208
143	16.49101158
144	16.48930917
145	16.48808078
146	16.48721782
147	16.48584101
148	16.48353976
149	16.48222728
150	16.48134059
151	16.47903191
152	16.47748858
153	16.47627427
154	16.47364446
155	16.47238082
156	16.47087053
157	16.46933236
158	16.46733473
159	16.46611793
160	16.46483296
161	16.46368336
162	16.46273483
