iter	RMSE
163	16.46166961
164	16.46078114
165	16.45987046
166	16.45798001
167	16.45705562
168	16.45634569
169	16.45507345
170	16.45432413
171	16.45293085
172	16.45104816
173	16.44926206
174	16.44800698
175	16.44711195
176	16.44624315
177	16.44529909
178	16.4443808
179	16.44342897
180	16.44258156
181	16.44185982
182	16.44087272
183	16.44013673
184	16.4376264
185	16.43695165
186	16.4361951
187	16.43517865
188	16.43366884
189	16.43263984
190	16.43156941
191	16.43070336
192	16.42982348
193	16.42894858
194	16.42801346
195	16.42761707
196	16.42694588
197	16.42630452
198	16.42541125
199	16.42462682
200	16.42400281
201	16.4230909
202	16.42277015
203	16.42243088
204	16.42151314
205	16.42086686
206	16.42060315
207	16.41982996
208	16.41850846
209	16.41752351
210	16.4166452
211	16.41603255
212	16.41512323
213	16.41400364
214	16.41322703
215	16.41255503
216	16.41118031
217	16.41017216
218	16.4093972
219	16.40905743
220	16.40859347
221	16.4067405
222	16.40606857
223	16.40499153
224	16.40453049
225	16.40315825
226	16.40286481
227	16.40127131
228	16.40032464
229	16.39994333
230	16.39942539
231	16.3984981
232	16.39771399
233	16.39721155
234	16.39688449
235	16.3960629
236	16.39505987
237	16.39452569
238	16.39368766
239	16.39218265
240	16.39144472
241	16.39093811
242	16.3903042
243	16.39003333
244	16.389645
245	16.38882186
246	16.38819048
247	16.38782847
248	16.38660371
249	16.38562412
250	16.38549543
251	16.3851406
252	16.38457438
253	16.38331914
254	16.38214167
255	16.38202216
256	16.38190821
257	16.38151116
258	16.38084219
259	16.3804489
260	16.3799409
261	16.37861644
262	16.37766025
263	16.37656155
264	16.37596039
265	16.37559939
266	16.37542297
267	16.37475413
268	16.37424767
269	16.37367683
270	16.37299036
271	16.37230172
272	16.37157844
273	16.3709811
274	16.37006089
275	16.36906468
276	16.36792681
277	16.36708747
278	16.36670895
279	16.36636625
280	16.36544665
281	16.36384609
282	16.36303936
283	16.36232016
284	16.36177675
285	16.36124256
286	16.36003133
287	16.35939802
288	16.35843992
289	16.3576983
290	16.35701778
291	16.3567519
292	16.35606976
293	16.35518272
294	16.35504068
295	16.3545652
296	16.35360062
297	16.35303379
298	16.35222297
299	16.35148209
300	16.35086992
301	16.35027322
302	16.34914332
303	16.34854827
304	16.3481048
305	16.34766271
306	16.34760739
307	16.34701229
308	16.34693705
309	16.34633454
310	16.34582828
311	16.34553975
312	16.34358847
313	16.34275397
314	16.34235796
315	16.34048395
316	16.33944805
317	16.33876532
318	16.33812038
319	16.33755034
320	16.33719612
321	16.33654564
322	16.33569937
323	16.33487204
324	16.33404602
325	16.33316423
326	16.33260533
327	16.3322594
328	16.33130108
329	16.33051456
330	16.32985634
331	16.32882
332	16.32834829
333	16.32793296
334	16.32769273
335	16.32769179
336	16.32727116
337	16.32692399
338	16.32660796
339	16.32603543
340	16.32524911
341	16.32458178
342	16.32416095
343	16.32401065
344	16.32349808
345	16.32301241
346	16.32224323
347	16.32148959
348	16.32108831
349	16.32016155
350	16.31992802
351	16.31874142
352	16.31796215
353	16.31737572
354	16.31729853
355	16.3164082
356	16.31541287
357	16.31518111
358	16.31473224
359	16.31429826
360	16.31365431
361	16.31255141
362	16.31166315
363	16.31064514
364	16.31047605
365	16.31018897
366	16.30896868
367	16.30851486
368	16.30823945
369	16.30777332
370	16.3071382
371	16.30610881
372	16.30526984
373	16.30449915
374	16.30293978
375	16.30280297
376	16.30237549
377	16.30186065
378	16.30118167
379	16.30055238
380	16.29983765
381	16.29982374
382	16.29861813
383	16.29797221
384	16.29630533
385	16.29548959
386	16.29519998
387	16.295148
388	16.2945274
389	16.29386182
390	16.29288647
391	16.29264153
392	16.29183254
393	16.29115806
394	16.29073733
395	16.28963422
396	16.28873258
397	16.28867472
398	16.28823168
399	16.28719392
400	16.28632794
401	16.28552578
402	16.28498774
403	16.28399658
404	16.28390554
405	16.28374995
406	16.28363557
407	16.28230292
408	16.28200066
409	16.28164164
410	16.2811057
411	16.27987144
412	16.27827542
413	16.27771841
414	16.27687387
415	16.27570869
416	16.27487693
417	16.27359053
418	16.27270983
419	16.27156953
420	16.27062575
421	16.26969887
422	16.26881864
423	16.26798517
424	16.26787056
425	16.26774079
426	16.26753612
427	16.26710607
428	16.26626974
429	16.26556657
430	16.26474142
431	16.26384425
432	16.26315046
433	16.26266144
434	16.26193414
435	16.26125894
436	16.26010761
437	16.25910679
438	16.25852767
439	16.25773557
440	16.25708579
441	16.25626399
442	16.2551918
443	16.25444285
444	16.25343715
445	16.2532017
446	16.25222186
447	16.25170158
448	16.25075479
449	16.2504823
450	16.24956505
451	16.24866166
452	16.24855612
453	16.24740844
454	16.24705026
455	16.24616757
456	16.24535873
457	16.24485068
458	16.2442392
459	16.24350934
460	16.24239401
461	16.24234885
462	16.24176051
463	16.24111077
464	16.24098141
465	16.24053508
466	16.23970835
467	16.23928241
468	16.23849986
469	16.23788977
470	16.2369278
471	16.23617108
472	16.2357663
473	16.23439587
474	16.23334072
475	16.23258412
476	16.23225118
477	16.23175888
478	16.23164203
479	16.23050087
480	16.22960503
481	16.22842253
482	16.22791391
483	16.22708844
484	16.22660349
485	16.22624335
486	16.22592417
487	16.22544468
488	16.22492538
489	16.22391522
490	16.22340201
491	16.22240981
492	16.22221655
493	16.22176463
494	16.22048537
495	16.22023404
496	16.2199631
497	16.21959551
498	16.21949108
499	16.21862809
500	16.21809389
501	16.21751432
502	16.21616749
503	16.21491071
504	16.21433224
505	16.2141247
506	16.2131695
507	16.21303798
508	16.21292927
509	16.21277402
510	16.21178972
511	16.21088671
512	16.20958893
513	16.20945086
514	16.20936086
515	16.20835858
516	16.20783
517	16.20738026
518	16.20677208
519	16.20622003
520	16.20544319
521	16.20482352
522	16.20460529
523	16.20395966
524	16.20337439
525	16.20249409
526	16.20157612
527	16.20064303
528	16.20018161
529	16.19933498
530	16.19866551
531	16.19808749
532	16.19699825
533	16.19682287
534	16.19668797
535	16.19601
536	16.19577622
537	16.19556263
538	16.19546274
539	16.19466004
540	16.194423
541	16.19425964
542	16.19403019
543	16.19364002
544	16.19332593
545	16.19258382
546	16.19238155
547	16.19234908
548	16.19138411
549	16.19069386
550	16.19067802
551	16.18928358
552	16.18890902
553	16.18799862
554	16.18793074
555	16.18731925
556	16.18701475
557	16.18693179
558	16.18583122
559	16.18546807
560	16.18491084
561	16.18454066
562	16.18446462
563	16.18429155
564	16.18374776
565	16.18331563
566	16.18305712
567	16.18278186
568	16.18264249
569	16.18223546
570	16.18182059
571	16.18059892
572	16.17978268
573	16.17959247
574	16.1786611
575	16.17809123
576	16.17725204
577	16.17665289
578	16.17604722
579	16.17588618
580	16.17480226
581	16.17388332
582	16.17349803
583	16.17313539
584	16.17236458
585	16.1716688
586	16.17144207
587	16.17072442
588	16.16980457
589	16.16915586
590	16.16831747
591	16.16814235
592	16.16705951
593	16.16669488
594	16.16651288
595	16.1662029
596	16.16609586
597	16.16555432
598	16.1652492
599	16.16442953
